Fuel Loadings = tons / acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macroplot,MonStatusOrd,MonStatus,OneHr,TenHr,HunHr,FineWood,ThSound,ThRotten,ThousandHourDc1Sz1,ThousandHourDc1Sz2,ThousandHourDc1Sz3,ThousandHourDc1Sz4,ThousandHourDc1Sz5,ThousandHourDc2Sz1,ThousandHourDc2Sz2,ThousandHourDc2Sz3,ThousandHourDc2Sz4,ThousandHourDc2Sz5,ThousandHourDc3Sz1,ThousandHourDc3Sz2,ThousandHourDc3Sz3,ThousandHourDc3Sz4,ThousandHourDc3Sz5,ThousandHourDc4Sz1,ThousandHourDc4Sz2,ThousandHourDc4Sz3,ThousandHourDc4Sz4,ThousandHourDc4Sz5,ThousandHourDc5Sz1,ThousandHourDc5Sz2,ThousandHourDc5Sz3,ThousandHourDc5Sz4,ThousandHourDc5Sz5,Th_3_6_Snd,Th_6_12_Snd,Th_12_20_Snd,Th_20_35_Snd,Th_35_50_Snd,Th_GT_50_Snd,Th_3_6_Rot,Th_6_12_Rot,Th_12_20_Rot,Th_20_35_Rot,Th_35_50_Rot,Th_GT_50_Rot,TotalWood,Duff,Litter,TotalAll,DuffDep,LittDep,TotDep,FuelBedDep
101,24,02Pre,0.103557219,0.940181967,8.19865728,9.242396467,0,15.1035984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0115008,5.531328,4.3482384,2.2125312,0,0,0,0,0,0,0,0,0,0,0,0,3.0115008,9.8795664,2.2125312,0,0,0,24.34599487,0,0,24.34599487,0.8,0,0.8,0
101,25,02Post,0.014283754,0.201467564,1.4135616,1.629312919,0,3.5646336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5646336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5646336,0,0,0,0,5.193946519,0,0,5.193946519,0.02,0,0.02,0
101,26,02yr01,0.085702526,0.335779274,0.56542464,0.98690644,4.975066368,2.6427456,0,0,0,0,0,0,0,0,0,0,0.214771968,2.5254144,2.23488,0,0,0,2.6427456,0,0,0,0,0,0,0,0,0.214771968,4.7602944,0,0,0,0,0,2.6427456,0,0,0,0,8.604718408,0,0,8.604718408,0.55,0,0.55,0
101,27,02yr02,0.221398193,2.014675644,1.13084928,3.366923117,2.5254144,3.764376,0,0,0,0,0,0,0,0,0,0,0,2.5254144,0,0,0,0,2.5198272,1.2445488,0,0,0,0,0,0,0,0,2.5254144,0,0,0,0,0,3.764376,0,0,0,0,9.656713517,0,0,9.656713517,0.17,0,0.17,0
101,31,03Post,0.121411912,0.940181967,1.4135616,2.47515548,0.9163008,1.6286688,0,0,0,0,0,0,0,0,0,0,0.9163008,0,0,0,0,0.38412,0,1.2445488,0,0,0,0,0,0,0,0.9163008,0,0,0,0,0,0.38412,1.2445488,0,0,0,0,5.02012508,0,0,5.02012508,0.07,0,0.07,0
101,32,03yr01,0.15355036,1.343117096,1.13084928,2.627516736,0.873,1.53648,0,0,0,0,0,0,0,0,0,0,0.873,0,0,0,0,0,0,1.53648,0,0,0,0,0,0,0,0.873,0,0,0,0,0,0,1.53648,0,0,0,0,5.036996736,0,0,5.036996736,0.76,0,0.76,0
101,33,03yr02,0.189259746,1.81320808,1.69627392,3.698741745,4.8217536,0.9833472,0,0,0,0,0,0,0,0,0,0,1.2627072,1.7487936,1.8102528,0,0,0,0.9833472,0,0,0,0,0,0,0,0,1.2627072,3.5590464,0,0,0,0,0,0.9833472,0,0,0,0,9.503842545,0,0,9.503842545,0.05,0,0.05,0
101,41,04Pre,0.074989711,0.940181967,1.97898624,2.994157918,12.4538688,1.4903856,0,0,0,0,0,0,0,0,0,0,1.2738816,3.938976,0,7.2410112,0,0.2458368,0,1.2445488,0,0,0,0,0,0,0,1.2738816,3.938976,7.2410112,0,0,0,0.2458368,1.2445488,0,0,0,0,16.93841232,0,0,16.93841232,0.06,0,0.06,0
101,42,04Post,0.124982851,1.67889637,2.26169856,4.065577781,13.99347763,0.5262444,0,0,0,0,0,0,0,0,0,0,2.201580288,1.831260672,6.06658176,3.894054912,0,0.5262444,0,0,0,0,0,0,0,0,0,2.201580288,7.897842432,3.894054912,0,0,0,0.5262444,0,0,0,0,0,18.58529981,0,0,18.58529981,0,0,0,0
101,43,04yr01,0.082131588,0.335779274,1.13084928,1.548760142,15.94653926,0,0,0,0,0,0,0,0,0,0,0,2.304608256,1.954179072,0,11.68775194,0,0,0,0,0,0,0,0,0,0,0,2.304608256,1.954179072,11.68775194,0,0,0,0,0,0,0,0,0,17.49529941,0,0,17.49529941,0.05,0,0.05,0
101,44,04yr02,0.174975991,0.805870258,0.56542464,1.546270889,15.23852928,0,0,0,0,0,0,0,0,0,0,0,3.50652672,0.8045568,7.092168192,3.835277568,0,0,0,0,0,0,0,0,0,0,0,3.50652672,7.896724992,3.835277568,0,0,0,0,0,0,0,0,0,16.78480017,0,0,16.78480017,0.41,0,0.41,0
101,45,04yr03,0.103557219,0.335779274,0.84813696,1.287473453,14.34815309,0,0,0,0,0,0,0,0,0,0,0,2.52317952,2.901097728,5.088598272,3.835277568,0,0,0,0,0,0,0,0,0,0,0,2.52317952,7.989696,3.835277568,0,0,0,0,0,0,0,0,0,15.63562654,0,0,15.63562654,0.86,0,0.86,0
101,46,04yr04,1.053426887,0.470090984,2.26169856,3.785216431,19.40591002,0,0,0,0,0,0,0,0,0,0,0,2.78466048,2.63939328,7.215533568,6.766322688,0,0,0,0,0,0,0,0,0,0,0,2.78466048,9.854926848,6.766322688,0,0,0,0,0,0,0,0,0,23.19112645,0,0,23.19112645,0.6,0,0.6,0
102,6,Control_15yr,0.164263176,1.880363934,0.56542464,2.61005175,1.3632768,9.6183648,0,0,0,0,0,0,0,0,0,0,0.55872,0.8045568,0,0,0,0.76824,0,0,0,8.8501248,0,0,0,0,0,0.55872,0.8045568,0,0,0,0,0.76824,0,0,8.8501248,0,0,13.59169335,0,0,13.59169335,0.185,0,0.185,0
102,8,Control_17yr,0.167834114,1.275961241,2.8271232,4.270918555,0.8045568,4.6401696,0,0,0,0,0,0,0,0,0,0,0,0.8045568,0,0,0,0.6299568,0.5531328,0,3.45708,0,0,0,0,0,0,0,0.8045568,0,0,0,0,0.6299568,0.5531328,3.45708,0,0,0,9.715644955,0,0,9.715644955,0.075,0,0.075,0
102,10,Control_19yr,0.239252886,2.014675644,3.39254784,5.64647637,1.899648,1.949178528,0,0,0,0,0,0,0,0,0,0,0,1.899648,0,0,0,0.704629728,0,1.2445488,0,0,0,0,0,0,0,0,1.899648,0,0,0,0,0.704629728,1.2445488,0,0,0,0,9.495302898,0,0,9.495302898,0,0,0,0
102,12,Control_21yr,0.164263176,1.141649532,0,1.305912707,7.713464832,0,0,0,0,0,0,0,0,0,0,0,1.427864832,1.25712,0,5.02848,0,0,0,0,0,0,0,0,0,0,0,1.427864832,1.25712,5.02848,0,0,0,0,0,0,0,0,0,9.019377539,0,0,9.019377539,0.15,0,0.15,0
