MacroPlot Purpose,MacroPlot Name,Monitoring Status,Date,Index,Transect,Quadrat,Status,SizeCl,AgeCl,Count,Height,SubFrac,Comment,UV1,UV2,UV3,NumTran,NumQuadTran,QuadLen,QuadWid,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species Symbol,Lifecycle,Preferred_Lifeform,Family,Genus,ScientificName,Native Species,Invasive Species,Visited,
PIAB,PIAB 20,01Post,10/4/2001 12:00:00 AM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,,,,,,False,False,True,
PIAB,PIAB 20,01Post,10/4/2001 12:00:00 AM,1,1,1,L,,X,1,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,ABCO,Perennial,Tree,Pinaceae,Abies,Abies concolor,True,False,,
PIAB,PIAB 20,01Year1,8/19/2002 12:00:00 AM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,,,,,,False,False,True,
PIAB,PIAB 20,01Year1,8/19/2002 12:00:00 AM,1,1,1,D,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,ABCO,Perennial,Tree,Pinaceae,Abies,Abies concolor,True,False,,
PIAB,PIAB 20,01Year1,8/19/2002 12:00:00 AM,2,1,1,D,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,ABCO,Perennial,Tree,Pinaceae,Abies,Abies concolor,True,False,,
PIAB,PIAB 20,01Year2,6/24/2003 12:00:00 AM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,,,,,,False,False,True,
PIAB,PIAB 20,01Year2,6/24/2003 12:00:00 AM,1,1,1,D,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,ABCO,Perennial,Tree,Pinaceae,Abies,Abies concolor,True,False,,
PIAB,PIAB 20,01Year5,8/23/2006 12:00:00 AM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,,,,,,False,False,True,
PIAB,PIAB 20,01Year5,8/23/2006 12:00:00 AM,1,1,1,L,,X,78,0.15,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,PIPO,Perennial,Tree,Pinaceae,Pinus,Pinus ponderosa,True,False,,
PIAB,PIAB 20,02Post,8/26/2009 2:54:09 PM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,,,,,,False,False,True,
PIAB,PIAB 20,02Year1,7/12/2010 9:03:03 AM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,,,,,,False,False,True,
PIAB,PIAB 20,02Year2,6/30/2011 1:24:41 PM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,,,,,,False,False,True,
PIAB,PIAB 20,02Year5,8/12/2014 8:29:30 PM,,,,,,,,,,,,,,1,1,5,10,50,Brannfors,Ali,,,,,,,,,,,False,False,True,
PIAB,PIAB 20,02Year5,8/12/2014 8:29:30 PM,-2147483648,1,1,L,,,2,0.6,1,,,,,,,,,,,,,,,,PIPO,Perennial,Tree,Pinaceae,Pinus,Pinus ponderosa,True,False,,
PIAB,PIAB 20,03Year1,7/3/2018 3:12:57 PM,,,,,,,,,,,,,,1,1,5,10,50,DANG;BENSON,DANG,,,,,,,,,,,False,False,True,
PIAB,PIAB 20,03Year1,7/3/2018 3:12:57 PM,-2147483648,1,1,L,,,5,0.6,1,,,,,,,,,,,,,,,,PIPO,Perennial,Tree,Pinaceae,Pinus,Pinus ponderosa,True,False,,
PIAB,PIAB 20,03Year1,7/3/2018 3:12:57 PM,-2147483647,1,1,L,,,1,1,1,,,,,,,,,,,,,,,,PIPO,Perennial,Tree,Pinaceae,Pinus,Pinus ponderosa,True,False,,
PIAB,PIAB 20,03Year2,8/7/2019 12:00:00 PM,,,,,,,,,,,,,,1,1,5,10,50,RONSANI; KLEIN,RIOS,,,,,,,,,,,False,False,True,
PIAB,PIAB 20,03Year2,8/7/2019 12:00:00 PM,-2147483648,1,1,L,,,3,0.6,1,,,,,,,,,,,,,,,,PIPO,Perennial,Tree,Pinaceae,Pinus,Pinus ponderosa,True,False,,
PIAB,PIAB 20,03Year2,8/7/2019 12:00:00 PM,-2147483647,1,1,L,,,1,1,1,,,,,,,,,,,,,,,,PIPO,Perennial,Tree,Pinaceae,Pinus,Pinus ponderosa,True,False,,
PIAB,PIAB 20,03Year2,8/7/2019 12:00:00 PM,-2147483646,1,1,L,,,1,2,1,,,,,,,,,,,,,,,,PIPO,Perennial,Tree,Pinaceae,Pinus,Pinus ponderosa,True,False,,
PIAB,PIAB 20,03Year5,8/10/2022 11:43:30 AM,,,,,,,,,,,,,,1,1,5,10,50,Humphrey; Brannfors ,Coppe,,,,,,,,,,,False,False,True,
PIAB,PIAB 20,03Year5,8/10/2022 11:43:30 AM,1,1,1,L,,,1,1,1,,,,,,,,,,,,,,,,PIPO,Perennial,Tree,Pinaceae,Pinus,Pinus ponderosa,True,False,,
PIAB,PIAB 20,03Year5,8/10/2022 11:43:30 AM,2,1,1,L,,,2,2,1,,,,,,,,,,,,,,,,PIPO,Perennial,Tree,Pinaceae,Pinus,Pinus ponderosa,True,False,,
PIAB,PIAB 20,03Year5,8/10/2022 11:43:30 AM,3,1,1,L,,,3,0.6,1,,,,,,,,,,,,,,,,PIPO,Perennial,Tree,Pinaceae,Pinus,Pinus ponderosa,True,False,,
PIAB,PIAB 20,PR01,6/5/1996 12:00:00 AM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,,,,,,False,False,True,
PIAB,PIAB 20,PR01,6/5/1996 12:00:00 AM,1,1,1,L,,X,8,0.15,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,ABCO,Perennial,Tree,Pinaceae,Abies,Abies concolor,True,False,,
PIAB,PIAB 20,PR01,6/5/1996 12:00:00 AM,2,1,1,L,,X,2,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,ABCO,Perennial,Tree,Pinaceae,Abies,Abies concolor,True,False,,
PIAB,PIAB 20,PR01,6/5/1996 12:00:00 AM,3,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,ABCO,Perennial,Tree,Pinaceae,Abies,Abies concolor,True,False,,
PIAB,PIAB 20,Pre,8/25/1999 12:00:00 AM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,,,,,,False,False,True,
PIAB,PIAB 20,Pre,8/25/1999 12:00:00 AM,1,1,1,L,,X,9,0.15,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,ABCO,Perennial,Tree,Pinaceae,Abies,Abies concolor,True,False,,
PIAB,PIAB 20,Pre,8/25/1999 12:00:00 AM,2,1,1,L,,X,3,0.6,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,ABCO,Perennial,Tree,Pinaceae,Abies,Abies concolor,True,False,,
PIAB,PIAB 20,Pre,8/25/1999 12:00:00 AM,3,1,1,L,,X,1,1,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,ABCO,Perennial,Tree,Pinaceae,Abies,Abies concolor,True,False,,
PIAB,PIAB 20,Pre,8/25/1999 12:00:00 AM,4,1,1,D,,X,1,2,1,From FMH TREESEED 1058,,, seed_ALL,,,,,,,,,,,,ABCO,Perennial,Tree,Pinaceae,Abies,Abies concolor,True,False,,
PIAB,PIAB 13,01Post,10/4/2001 12:00:00 AM,,,,,,,,,,,,,,1,1,5,10,50,,,,,,,,,,,,,False,False,True,
