Fuel Loadings = tons / acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macroplot,MonStatusOrd,MonStatus,OneHr,TenHr,HunHr,FineWood,ThSound,ThRotten,ThousandHourDc1Sz1,ThousandHourDc1Sz2,ThousandHourDc1Sz3,ThousandHourDc1Sz4,ThousandHourDc1Sz5,ThousandHourDc2Sz1,ThousandHourDc2Sz2,ThousandHourDc2Sz3,ThousandHourDc2Sz4,ThousandHourDc2Sz5,ThousandHourDc3Sz1,ThousandHourDc3Sz2,ThousandHourDc3Sz3,ThousandHourDc3Sz4,ThousandHourDc3Sz5,ThousandHourDc4Sz1,ThousandHourDc4Sz2,ThousandHourDc4Sz3,ThousandHourDc4Sz4,ThousandHourDc4Sz5,ThousandHourDc5Sz1,ThousandHourDc5Sz2,ThousandHourDc5Sz3,ThousandHourDc5Sz4,ThousandHourDc5Sz5,Th_3_6_Snd,Th_6_12_Snd,Th_12_20_Snd,Th_20_35_Snd,Th_35_50_Snd,Th_GT_50_Snd,Th_3_6_Rot,Th_6_12_Rot,Th_12_20_Rot,Th_20_35_Rot,Th_35_50_Rot,Th_GT_50_Rot,TotalWood,Duff,Litter,TotalAll,DuffDep,LittDep,TotDep,FuelBedDep
PIAB 01,5,Pre,0.345631067,1.620285815,2.973677248,4.93959413,4.667420596,15.46956208,0,0,0,0,0,0,0,0,0,0,0.987628926,3.67979167,0,0,0,1.443232494,2.39128343,0,11.63504616,0,0,0,0,0,0,0.987628926,3.67979167,0,0,0,0,1.443232494,2.39128343,11.63504616,0,0,0,25.07657681,19.317771,5.90718975,50.30153756,1.095,1.3675,2.4625,0
PIAB 01,6,01Post,0.156945415,0.4078768,1.492796866,2.057619081,9.783117563,0,0,0,0,0,0,0,0,0,0,0,2.42046816,0,1.758484515,5.604164888,0,0,0,0,0,0,0,0,0,0,0,2.42046816,1.758484515,5.604164888,0,0,0,0,0,0,0,0,0,11.84073664,2.117016,0.80994375,14.76769639,0.12,0.1875,0.3075,0
PIAB 01,7,01Year1,0.156730247,0.46512402,1.195965401,1.817819669,9.190528175,0.99170312,0,0,0,0,0,0,0,0,0,0,1.447959266,2.138404012,0,5.604164896,0,0,0.99170312,0,0,0,0,0,0,0,0,1.447959266,2.138404012,5.604164896,0,0,0,0,0.99170312,0,0,0,0,12.00005096,2.558061,1.3175085,15.87562046,0.145,0.305,0.45,0
PIAB 01,8,01Year2,0.149359789,0.57842104,0.599422624,1.327203453,9.472552411,0,0,0,0,0,0,0,0,0,0,0,1.757322283,2.789694574,0,4.925535553,0,0,0,0,0,0,0,0,0,0,0,1.757322283,2.789694574,4.925535553,0,0,0,0,0,0,0,0,0,10.79975586,3.175524,1.24191375,15.21719361,0.18,0.2875,0.4675,0
PIAB 01,9,01Year5,0.101789168,0.814227775,0.899133937,1.81515088,6.329836315,6.165991959,0,0,0,0,0,0,0,0,0,0,1.252572098,5.077264218,0,0,0,0.279373968,0,1.925061246,3.961556745,0,0,0,0,0,0,1.252572098,5.077264218,0,0,0,0,0.279373968,1.925061246,3.961556745,0,0,0,14.31097915,3.2196285,3.18577875,20.7163864,0.1825,0.7375,0.92,0
PIAB 01,10,01Year10,0.589828559,2.145708705,1.498159465,4.233696729,21.37480631,4.647707889,0,0,0,0,0,0,0,0,0,0,1.814392985,9.103346362,1.773192799,8.683874161,0,1.19675179,0,0,3.450956098,0,0,0,0,0,0,1.814392985,10.87653916,8.683874161,0,0,0,1.19675179,0,3.450956098,0,0,0,30.25621093,8.556273,2.3110395,41.12352343,0.485,0.535,1.02,0
PIAB 02,0,PR01,0.243916419,1.502271663,2.971117895,4.717305977,9.075565423,19.87965026,0,0,0,0,0,0,0,0,0,0,0.872274136,6.029719406,2.173571881,0,0,0.21405604,2.379881667,0,8.828314745,8.45739781,0,0,0,0,0,0.872274136,8.203291287,0,0,0,0,0.21405604,2.379881667,8.828314745,8.45739781,0,0,33.67252166,13.848813,6.004383,53.52571766,0.785,1.39,2.175,0
PIAB 02,5,Pre,0.203226968,2.253212787,3.267860272,5.724300027,11.61686009,18.32019456,0,0,0,0,0,0,0,0,0,0,1.721182278,3.467991052,1.920568111,4.507118646,0,1.078667698,1.26306087,1.447668798,4.473334372,10.05746282,0,0,0,0,0,1.721182278,5.388559163,4.507118646,0,0,0,1.078667698,2.710729668,4.473334372,10.05746282,0,0,35.66135467,8.3357505,2.60261925,46.59972442,0.4725,0.6025,1.075,0
PIAB 02,7,01Year1,0.054198459,0.51993423,0.594018878,1.168151567,18.44995412,1.118835926,0,0,0,0,0,0,0,0,0,0,0.972354506,4.009888795,2.173571878,11.29413894,0,0,1.118835926,0,0,0,0,0,0,0,0,0.972354506,6.183460673,11.29413894,0,0,0,0,1.118835926,0,0,0,0,20.73694161,2.822688,0.9287355,24.48836511,0.16,0.215,0.375,0
PIAB 02,8,01Year2,0.094859481,0.866747432,0.297187414,1.258794327,20.28110977,2.539044653,0,0,0,0,0,0,0,0,0,0,2.829639149,2.787605933,0,3.673336474,10.99052822,0.157147857,2.381896796,0,0,0,0,0,0,0,0,2.829639149,2.787605933,3.673336474,10.99052822,0,0,0.157147857,2.381896796,0,0,0,0,24.07894875,4.234032,1.1015235,29.41450425,0.24,0.255,0.495,0
