Fuel Loadings = tons / acre

Macroplot,MonStatusOrd,MonStatus,OneHr,TenHr,HunHr,FineWood,>3_Snd,>3_Rot,3_<6_DC1,6_<9_DC1,9_<12_DC1,12_<20_DC1,>20_DC1,3_<6_DC2,6_<9_DC2,9_<12_DC2,12_<20_DC2,>20_DC2,3_<6_DC3,6_<9_DC3,9_<12_DC3,12_<20_DC3,>20_DC3,3_<6_DC4,6_<9_DC4,9_<12_DC4,12_<20_DC4,>20_DC4,3_<6_DC5,6_<9_DC5,9_<12_DC5,12_<20_DC5,>20_DC5,3_<6_Snd,6_<12_Snd,12_<20_Snd,20_<35_Snd,35_<50_Snd,50>_Snd,3_<6_Rot,6_<12_Rot,12_<20_Rot,20_<35_Rot,35_<50_Rot,50>_Rot,TotalWood,Duff,Litter,TotalAll,DuffDep,LittDep,TotDep,FuelBedDep
"PSME-01",0,"00PR01",0.402974684069619,0.868948735693547,0.968261045553356,2.24018446531652,0,10.5045503965392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677181661550815,1.49820460669765,2.3167125547657,6.01245157352501,0,0,0,0,0,0,0,0,0,0,0,0,0.677181661550815,3.81491716146335,6.01245157352501,0,0,0,12.7447348618557,15.4229625,3.86821875,32.0359161118557,1.545,0.775,2.32,0
"PSME-01",1,"00PR02",0.35282367346801,6.23752526059484,1.28585941263458,7.87620834669743,13.3421991214306,3.23573902277192,0,0,0,0,0,0,0,0,0,0,0.253364214456363,0,0,0,13.0888349069742,0,0,0,3.23573902277192,0,0,0,0,0,0,0.253364214456363,0,0,13.0888349069742,0,0,0,0,3.23573902277192,0,0,0,24.4541464908999,9.20885625,4.36734375,38.0303464908999,0.9225,0.875,1.7975,0
"PSME-01",2,"01Pre",0.666317244861823,0.728616913624281,2.09184962301696,3.48678378150306,3.31351060989926,4.30155444052914,0,0,0,0,0,0,0,0,0,0,1.13507750055117,2.17843310934809,0,0,0,0.312724284252119,0,0,3.98883015627703,0,0,0,0,0,0,1.13507750055117,2.17843310934809,0,0,0,0,0.312724284252119,0,3.98883015627703,0,0,0,11.1018488319315,7.021025,4.5254,22.6482738319315,0.703333333333333,0.906666666666667,1.61,0
"PSME-01",3,"01Post",0.331573743866979,2.13124315708494,0.937361303987481,3.4001782049394,11.6904740793704,0,0,0,0,0,0,0,0,0,0,0,0.730794248128641,1.55130653563319,0,9.40837329560858,0,0,0,0,0,0,0,0,0,0,0,0.730794248128641,1.55130653563319,9.40837329560858,0,0,0,0,0,0,0,0,0,15.0906522843098,5.5902,3.930609375,24.6114616593098,0.56,0.7875,1.3475,0
"PSME-01",4,"01Year01",0.872787715551537,2.48848013816529,0.929758775292778,4.29102662900961,1.59033159067021,0.763975696647788,0,0,0,0,0,0,0,0,0,0,0,1.59033159067021,0,0,0,0.763975696647788,0,0,0,0,0,0,0,0,0,0,1.59033159067021,0,0,0,0,0.763975696647788,0,0,0,0,0,6.64533391632761,4.41725625,4.804078125,15.8666682913276,0.4425,0.9625,1.405,0
"PSME-01",6,"01Year10",0.639199203770385,2.79732586639626,4.4495736299385,7.88609870010515,33.2284675198344,2.12000137492247,0,0,0,0,0,0,0,0,0,0,1.8633939382863,6.16779722485122,0,25.1972763566968,0,0.518912470430814,0,1.60108890449166,0,0,0,0,0,0,0,1.8633939382863,6.16779722485122,25.1972763566968,0,0,0,0.518912470430814,1.60108890449166,0,0,0,0,43.234567594862,0.8485125,2.82005625,46.903136344862,0.085,0.565,0.65,0
"PSME-01",7,"01Year20",0.420374123305344,3.17022445031574,4.09975423633775,7.69035280995883,0.490843083540188,24.4075017182414,0,0,0,0,0,0,0,0,0,0,0.490843083540188,0,0,0,0,0.450862100184003,4.787005359723,6.09389516557212,13.0757390927623,0,0,0,0,0,0,0.490843083540188,0,0,0,0,0,0.450862100184003,10.8809005252951,13.0757390927623,0,0,0,32.5886976117404,2.295975,3.01970625,37.9043788617404,0.23,0.605,0.835,0
"PSME-02",0,"00PR01",0.389582588200687,1.5658679625492,0.932098029755458,2.88754858050534,2.08920727926601,32.9460958081365,0,0,0,0,0,0,0,0,0,0,1.08210588921943,1.00710139004658,0,0,0,3.03413671351069,4.95164943116329,0,5.21370392257667,19.7466057408858,0,0,0,0,0,1.08210588921943,1.00710139004658,0,0,0,0,3.03413671351069,4.95164943116329,5.21370392257667,19.7466057408858,0,0,37.9228516679078,25.3056375,6.56349375,69.7919829179078,2.535,1.315,3.85,0
"PSME-02",1,"00PR02",0.189192945171279,5.02117189607029,1.24185619694257,6.45222103818414,5.40265033388148,20.1575408015398,0,0,0,0,0,0,0,0,0,0,2.62114355980963,2.78150677407185,0,0,0,2.12964535939714,0.649457928071834,0,0,17.3784375140708,0,0,0,0,0,2.62114355980963,2.78150677407185,0,0,0,0,2.12964535939714,0.649457928071834,0,17.3784375140708,0,0,32.0124121736054,14.05036875,5.290725,51.3535059236054,1.4075,1.06,2.4675,0
"PSME-02",2,"01Pre",0.421922865469576,1.33030202335428,3.11556819215385,4.8677930809777,4.65082794762133,14.9384406273287,0,0,0,0,0,0,0,0,0,0,2.76860265607981,1.88222529154152,0,0,0,0.985922339578266,0.641007941092776,2.18290025824144,0,11.1286100884163,0,0,0,0,0,2.76860265607981,1.88222529154152,0,0,0,0,0.985922339578266,2.82390819933422,0,11.1286100884163,0,0,24.4570616559278,15.14844375,4.6418625,44.2473679059278,1.5175,0.93,2.4475,0
