Fuel Loadings = tons / acre

Macroplot,MonStatusOrd,MonStatus,OneHr,TenHr,HunHr,FineWood,>3_Snd,>3_Rot,3_<6_DC1,6_<9_DC1,9_<12_DC1,12_<20_DC1,>20_DC1,3_<6_DC2,6_<9_DC2,9_<12_DC2,12_<20_DC2,>20_DC2,3_<6_DC3,6_<9_DC3,9_<12_DC3,12_<20_DC3,>20_DC3,3_<6_DC4,6_<9_DC4,9_<12_DC4,12_<20_DC4,>20_DC4,3_<6_DC5,6_<9_DC5,9_<12_DC5,12_<20_DC5,>20_DC5,3_<6_Snd,6_<12_Snd,12_<20_Snd,20_<35_Snd,35_<50_Snd,50>_Snd,3_<6_Rot,6_<12_Rot,12_<20_Rot,20_<35_Rot,35_<50_Rot,50>_Rot,TotalWood,Duff,Litter,TotalAll,DuffDep,LittDep,TotDep,FuelBedDep
"BEC-001",0,"00PRE",0.0953455142385739,0.456297393475868,0,0.551642907714442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551642907714442,0.19965,3.094575,3.84586790771444,0.02,0.62,0.64,0
"BEC-002",0,"00PRE",0.119189440153534,0.152081399157988,1.81532310054893,2.08659393986045,3.50745274674484,20.5136875097181,0,0,0,0,0,0,0,0,0,0,3.50745274674484,0,0,0,0,0,5.84295744365541,3.35438747629908,11.3163425897636,0,0,0,0,0,0,3.50745274674484,0,0,0,0,0,0,9.19734491995449,11.3163425897636,0,0,0,26.1077341963234,3.3441375,8.31043125,37.7623029463234,0.335,1.665,2,0
"BEC-003",0,"00PRE",0.158954992243281,0.304238799116322,1.2100944,1.6732881913596,0,5.83215007517123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57330687517123,1.4303232,2.82852,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57330687517123,4.2588432,0,0,0,0,7.50543826653083,7.986,8.31043125,23.8018695165308,0.8,1.665,2.465,0
"BEC-004",0,"00PRE",0.119332516493549,0.305331113068723,1.21015490320746,1.63481853276973,0.860937443643936,0,0,0,0,0,0,0,0,0,0,0,0.860937443643936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.860937443643936,0,0,0,0,0,0,0,0,0,0,0,2.49575597641367,1.9465875,3.86821875,8.31056222641367,0.195,0.775,0.97,0
"BEC-005",0,"00PRE",0.11131277940372,0.152050992,0.60580303689682,0.86916680830054,1.5127344,0,0,0,0,0,0,0,0,0,0,0,1.5127344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5127344,0,0,0,0,0,0,0,0,0,0,0,2.38190120830054,2.99475,7.26226875,12.6389199583005,0.3,1.455,1.755,0
"BEC-006",0,"00PRE",0.0556335646177091,0.913263279851637,1.21160607379364,2.18050291826298,0,10.1665161521862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13596810323842,6.20188662648323,2.82866142246453,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13596810323842,9.03054804894776,0,0,0,0,12.3470190704492,2.894925,8.58495,23.8268940704492,0.29,1.72,2.01,0
"BEC-007",0,"00PRE",0.103325391464592,0,0,0.103325391464592,2.799514932004,9.98392733695638,0,0,0,0,0,0,0,0,0,0,2.799514932004,0,0,0,0,0,6.13226525808647,3.8516620788699,0,0,0,0,0,0,0,2.799514932004,0,0,0,0,0,0,9.98392733695638,0,0,0,0,12.886767660425,2.495625,6.18915,21.571542660425,0.25,1.24,1.49,0
"BEC-008",0,"00PRE",0.0317844861908044,0.304162798315976,1.21063882001305,1.54658610451983,0,2.28038273977058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804717695272081,1.4756650444985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804717695272081,1.4756650444985,0,0,0,0,3.82696884429041,0.698775,5.5402875,10.0660313442904,0.07,1.11,1.18,0
"BUFFALO PLATEAU-001",0,"00PRE",0.0442127669315147,0.282063789033283,1.12239916051307,1.44867571647786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44867571647786,7.8602205,3.193214578125,12.5021107946029,0.7874,0.6397625,1.4271625,0
"BUFFALO PLATEAU-001",8,"01YR10",0.270775086082356,1.21938449361591,0,1.49015957969826,9.31246558836058,2.11276563035931,0,0,0,0,0,0,0,0,0,0,0,0,9.31246558836058,0,0,2.11276563035931,0,0,0,0,0,0,0,0,0,0,9.31246558836058,0,0,0,0,2.11276563035931,0,0,0,0,0,12.9153907984182,0.7986,1.2478125,14.9618032984182,0.08,0.25,0.33,0
